Movie Name,Genre,Ratings,Voting Counts,Duration
Armor,Thriller,3.6, 3.8K,1h 29m
One More Shot,Thriller,5.4, 3.6K,1h 43m
The Last Breath,Thriller,4.7, 2.1K,1h 36m
The Shadow Strays,Thriller,6.5, 9.1K,2h 24m
Black Dog,Thriller,7.2, 2.7K,1h 50m
The Devil's Bath,Thriller,6.6, 6.1K,2h 1m
A Sacrifice,Thriller,5.0, 5.2K,1h 34m
2073,Thriller,5.1, 1.7K,1h 25m
Weekend in Taipei,Thriller,5.7, 4.6K,1h 40m
The Silent Hour,Thriller,6.1, 7.3K,1h 39m
Succubus,Thriller,4.6, 1.2K,1h 43m
The Platform 2,Thriller,4.9, 40K,1h 39m
The Exorcism,Thriller,4.2, 11K,1h 35m
Kishkindha Kaandam,Thriller,8.0, 11K,2h 13m
Winner,Thriller,6.5, 2.4K,1h 43m
She's Obsessed with My Husband,Thriller,5.0, 237,1h 28m
Sting,Thriller,5.7, 16K,1h 31m
Do Patti,Thriller,6.5, 68K,2h 6m
Grafted,Thriller,5.6, 2.2K,1h 36m
Night Swim,Thriller,4.7, 27K,1h 38m
Red Right Hand,Thriller,5.5, 5.8K,1h 51m
Chief of Station,Thriller,4.7, 4.6K,1h 37m
V/H/S/Beyond,Thriller,5.8, 9.4K,1h 54m
Boneyard,Thriller,4.1, 5K,1h 36m
Magpie,Thriller,6.1, 2.6K,1h 30m
Imaginary,Thriller,4.7, 17K,1h 44m
Rogue Elements: A Ryan Drake Story,Thriller,4.8, 953,44m
Guilty Pleasure,Thriller,5.9, 114,1h 59m
The Inheritance,Thriller,4.7, 2.9K,1h 25m
Amber Alert,Thriller,6.0, 5.6K,1h 30m
Breathe,Thriller,4.2, 7.1K,1h 33m
Skincare,Thriller,5.7, 4.4K,1h 36m
Karma,Thriller,8.0, 1.4K,2h 47m
Harbin,Thriller,6.4, 567,1h 48m
We Bury the Dead,Thriller,7.2, 106,1h 34m
Sumala,Thriller,5.8, 893,1h 52m
Mea Culpa,Thriller,4.2, 7K,2h
Dard,Thriller,6.8, 1.7K,2h 36m
Uprising,Thriller,6.6, 5.5K,2h 6m
Sugar Baby,Thriller,4.2, 261,1h 28m
The Calendar Killer,Thriller,5.4, 4.1K,1h 37m
Lake George,Thriller,6.4, 951,1h 58m
Sunrise,Thriller,3.8, 1.1K,1h 33m
Things Will Be Different,Thriller,5.2, 2.4K,1h 42m
No Way Up,Thriller,4.6, 10K,1h 30m
Baby John,Thriller,5.3, 17K,2h 39m
Hold Your Breath,Thriller,5.3, 8.5K,1h 34m
Bramayugam,Thriller,7.8, 14K,2h 19m
Escape,Thriller,5.9, 838,2h 9m
Degenerate,Thriller,5.8, 639,1h 40m
Sikandar ka Muqaddar,Thriller,6.0, 24K,2h 22m
Through the Door,Thriller,3.7, 68,1h 10m
Undercover,Thriller,7.2, 4K,1h 40m
River of Blood,Thriller,5.3, 1.7K,1h 26m
The Girl in the Pool,Thriller,4.3, 1.4K,1h 29m
Humane,Thriller,5.5, 7.2K,1h 33m
Black Heat,Thriller,8.6, 117,1h 33m
Lembayung,Thriller,6.0, 699,2h 3m
Viduthalai Part 2,Thriller,7.9, 16K,2h 50m
Outside,Thriller,5.1, 4.5K,2h 22m
The Wages of Fear,Thriller,4.6, 4.1K,1h 44m
Fit for Murder,Thriller,6.0, 118,1h 41m
Damaged,Thriller,4.7, 7.2K,1h 37m
Tyler Perry's Divorce in the Black,Thriller,4.6, 3.5K,2h 23m
Shaitaan,Thriller,6.5, 54K,2h 12m
The Painter,Thriller,4.7, 2.3K,1h 40m
Waves,Thriller,8.1, 1.6K,2h 11m
Dead Sea,Thriller,5.3, 5.3K,1h 28m
Relay,Thriller,7.4, 103,1h 52m
Dominique,Thriller,5.3, 2.2K,1h 40m
The Front Room,Thriller,4.6, 5.3K,1h 34m
Blackwater Lane,Thriller,4.6, 1.8K,1h 48m
Sector 36,Thriller,7.1, 25K,2h 3m
