Movie Name,Genre,Ratings,Voting Counts,Duration
Anaconda,Action,4.8, 625,1h 24m
Hagen,Action,6.1, 1.2K,2h 19m
The Thundermans Return,Action,5.0, 1.8K,1h 10m
Night Call,Action,6.8, 1.9K,1h 37m
My Spy: The Eternal City,Action,5.7, 11K,1h 52m
Dark Match,Action,5.5, 922,1h 34m
The Roundup: Punishment,Action,6.6, 5.2K,1h 49m
Hounds of War,Action,4.5, 1.7K,1h 35m
Hanu Man,Action,7.7, 29K,2h 38m
Rifle Club,Action,7.0, 4.2K,1h 53m
Jigra,Action,6.0, 23K,2h 33m
Deep Six,Action,3.4, 233,1h 34m
"I, the Executioner",Action,6.3, 1.7K,1h 58m
The Price of Money: A Largo Winch Adventure,Action,5.0, 1.1K,1h 40m
Badland Hunters,Action,5.9, 12K,1h 47m
Sunray: Fallen Soldier,Action,4.3, 622,1h 55m
Ultraman: Rising,Action,6.9, 6.3K,1h 57m
The Clean Up Crew,Action,4.1, 1.1K,1h 35m
Death Whisperer 2,Action,6.4, 1.3K,1h 50m
Bougainvillea,Action,6.4, 3.1K,2h 18m
Officer Black Belt,Action,6.8, 8.1K,1h 48m
Panda Plan,Action,5.1, 1.2K,1h 39m
Code 8: Part II,Action,5.7, 16K,1h 40m
Pani,Action,6.9, 2.9K,2h 23m
The Courier,Action,6.0, 4.4K,1h 41m
Joe Baby,Action,7.3, 30,1h 26m
Air Force One Down,Action,4.4, 2.9K,1h 24m
Cesium Fallout,Action,6.5, 582,2h 16m
11 Rebels,Action,6.2, 360,2h 35m
Rats!,Action,6.5, 116,1h 25m
A Legend,Action,4.7, 886,2h 9m
My Hero Academia: You're Next,Action,7.0, 2K,1h 50m
Cloud,Action,6.3, 1K,2h 4m
Vanvaas,Action,6.6, 1.3K,2h 40m
Kill Em All 2,Action,4.1, 1.3K,1h 28m
Dan Da Dan: First Encounter,Action,8.2, 2.7K,1h 23m
Article 370,Action,7.8, 25K,2h 38m
Darkness of Man,Action,4.8, 3.1K,1h 49m
200% Wolf,Action,5.9, 1.3K,1h 38m
Latency,Action,4.2, 2.4K,1h 34m
Elyas,Action,6.1, 1.3K,1h 45m
Operation Blood Hunt,Action,3.4, 477,1h 33m
The Tiger's Apprentice,Action,5.7, 2.2K,1h 24m
Life After Fighting,Action,6.4, 2K,2h 6m
Simarik,Action,6.4, 2.5K,1h 51m
Die Hart: Die Harter,Action,4.3, 5.5K,1h 32m
Raqa,Action,5.7, 177,1h 47m
Murder Company,Action,3.7, 1.5K,1h 26m
Lights Out,Action,4.9, 1.8K,1h 30m
Justice League: Crisis on Infinite Earths - Part Two,Action,5.5, 5.3K,1h 34m
Black Creek,Action,8.6, 7,1h 56m
City Hunter,Action,6.3, 5.6K,1h 42m
Snow White and the Seven Samurai,Action,3.2, 290,1h 28m
Hijack 1971,Action,6.8, 3.3K,1h 40m
Revolver,Action,5.4, 847,1h 54m
One Fast Move,Action,5.0, 2.2K,1h 48m
Sixty Minutes,Action,5.7, 5.2K,1h 28m
Khadaan,Action,7.2, 2.1K,2h 17m
Outlaw,Action,5.2, 922,1h 22m
Golden Kamuy,Action,6.3, 2.6K,2h 7m
Agent Recon,Action,2.4, 670,1h 25m
Freedom,Action,5.9, 1.4K,1h 50m
Agni,Action,7.3, 15K,2h 2m
Alien Country,Action,4.4, 361,1h 36m
Utopia,Action,3.6, 357,1h 31m
Angels Fallen: Warriors of Peace,Action,4.9, 5.8K,1h 43m
How to Rob a Bank,Action,6.6, 4.2K,1h 28m
Arena Wars,Action,4.9, 2.1K,1h 36m
The Twisters,Action,2.6, 329,1h 26m
The Last Kumite,Action,4.6, 2.3K,1h 45m
Wynonna Earp: Vengeance,Action,5.5, 1.5K,1h 36m
Jacob Tyler,Action,4.3, 56,2h 13m
Hellhound,Action,4.3, 502,1h 43m
Handsome Guys,Action,6.5, 805,1h 41m
Zero,Action,6.1, 41,1h 28m
Fight Another Day,Action,4.9, 345,1h 37m
Wanted Man,Action,4.8, 2.6K,1h 25m
Paradox Effect,Action,6.0, 8.6K,1h 27m
Heart of the Hunter,Action,4.7, 2.1K,1h 45m
Continental Split,Action,3.5, 544,1h 28m
Tales Beyond the Galaxy,Action,4.8, 172,1h 16m
Vettaiyan,Action,7.0, 39K,2h 43m
Nice Girls,Action,4.2, 1.2K,1h 32m
72 Hours,Action,4.1, 285,1h 27m
Striking Rescue,Action,5.6, 385,1h 46m
Saripodhaa Sanivaaram,Action,7.0, 9K,2h 46m
Sorgavaasal,Action,6.6, 1.3K,2h 18m
Alien: Rubicon,Action,2.4, 337,1h 26m
Agents,Action,3.4, 926,1h 22m
Troubleshooters,Action,6.6, 412,1h 50m
Bade Miyan Chote Miyan,Action,3.7, 39K,2h 43m
Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,Action,7.1, 8.4K,1h 44m
London Calling,Action,7.8, 20,1h 49m
The Hangman,Action,3.3, 999,1h 32m
Terminator: Skynet Rising,Action,6.7, 264,1h 28m
Roadkill,Action,3.7, 678,1h 30m
Max,Action,7.1, 3.3K,2h 12m
WWII: Operation Phoenix,Action,6.3, 73,1h 46m
Escape,Action,6.4, 2K,1h 34m
Ferry 2,Action,5.6, 3.8K,1h 34m
No Time to Spy: A Loud House Movie,Action,6.4, 443,1h 21m
War of the Worlds: Extinction,Action,3.1, 202,1h 24m
Savi,Action,6.2, 35K,2h 6m
Chandu Champion,Action,7.8, 34K,2h 22m
The Family Star,Action,5.4, 5.4K,2h 39m
40 Acres,Action,6.8, 127,1h 53m
Drive Back,Action,4.7, 298,1h 34m
12 to Midnight,Action,3.6, 285,1h 36m
Raayan,Action,6.5, 11K,2h 25m
A.R.M,Action,7.1, 8.6K,2h 30m
The Last Front,Action,5.5, 607,1h 38m
Escape from the 21st Century,Action,6.5, 856,1h 38m
The Lockdown,Action,4.3, 605,1h 57m
"Love, Courage and the Battle of Bushy Run",Action,4.9, 180,1h 53m
GTMax,Action,5.0, 1.2K,1h 40m
The Greatest of All Time,Action,5.7, 22K,3h 3m
Stuntman,Action,7.0, 163,1h 54m
Bionic,Action,4.3, 1.7K,1h 50m
Thangalaan,Action,6.6, 6.6K,2h 36m
Purushothamudu,Action,5.1, 2.2K,2h
Kanguva,Action,4.5, 15K,2h 32m
Get Fast,Action,3.6, 450,1h 28m
Baby Assassins: Nice Days,Action,7.3, 292,1h 43m
The Lost Tiger,Action,7.8, 44,1h 30m
Vedaa,Action,6.0, 4.3K,2h 25m
Big Rage,Action,3.6, 164,1h 55m
Bagheera,Action,6.7, 7.3K,2h 38m
KA,Action,7.2, 1.5K,2h 31m
The Ballad of Davy Crockett,Action,4.6, 246,1h 36m
The Last Ronin,Action,4.8, 571,1h 55m
Ryan's World the Movie: Titan Universe Adventure,Action,1.8, 682,1h 20m
Spiders on a Plane,Action,5.2, 371,1h 18m
Toemalog,Action,7.2, 96,1h 25m
Indian 2,Action,3.8, 16K,15
Invasion,Action,4.8, 671,1h 31m
Yodha,Action,5.7, 8.8K,2h 10m
Ghosts of Red Ridge,Action,3.3, 155,1h 21m
Alienoid: The Return to the Future,Action,6.5, 2.6K,2h 2m
Yolo,Action,6.9, 3.7K,2h 9m
